School_ID,School_Name,Status as of 2019,Graduates_2018,Enrollments_2018,Enrollment_Pct_2018,Graduates_2017,Enrollments_2017,Enrollment_Pct_2017,Num_Enrollments_Persisting_2017,Persistence_Pct_2017,Graduates_2016,Enrollments_2016,Enrollment_Pct_2016,Num_Enrollments Persisting_2016,Persistence_Pct_2016,Graduates_2015,Enrollments_2015,Enrollment_Pct_2015,Num_Enrollments_Persisting_2015,Persistence_Pct_2015,Graduates_2014,Enrollments_2014,Enrollment_Pct_2014,Num_Enrollments_Persisting_2014,Persistence_Pct_2014,Graduates_2013,Enrollments_2013,Enrollment_Pct_2013,Num_Enrollments Persisting_2013,Persistence_Pct_2013,Graduates_2012,Enrollments_2012,Enrollment_Pct_2012,Num_Enrollments_Persisting_2012,Persistence_Pct_2012,Graduates_2011,Enrollments_2011,Enrollment_Pct_2011,Num_Enrollments_Persisting_2011,Persistence_Pct_2011,Graduates_2010,Enrollments_2010,Enrollment_Pct_2010,Num_Enrollments_Persisting_2010,Persistence_Pct_2010
609756,CURIE HS,,663,466,70.3,519,400,77.1,296,74.0,567,357,63.0,260,72.8,559,368,65.8,274,74.5,479,292,61.0,218,74.7,660,422,63.9,319,75.6,711,418,58.8,331,79.2,591,363,61.4,297,81.8,560,341,60.9,278,81.5
609759,CLEMENTE HS,,176,88,50.0,94,64,68.1,28,43.8,154,76,49.4,32,42.1,171,74,43.3,23,31.1,193,81,42.0,36,44.4,222,93,41.9,41,44.1,292,118,40.4,53,44.9,240,91,37.9,49,53.8,304,127,41.8,63,49.6
609760,CARVER MILITARY HS,,111,71,64.0,108,73,67.6,50,68.5,113,76,67.3,53,69.7,105,48,45.7,32,66.7,133,64,48.1,37,57.8,109,60,55.0,40,66.7,107,50,46.7,33,66.0,113,53,46.9,41,77.4,88,53,60.2,40,75.5
609761,CORLISS HS,,72,37,51.4,78,41,52.6,14,34.1,96,36,37.5,21,58.3,90,31,34.4,19,61.3,104,43,41.3,17,39.5,105,47,44.8,18,38.3,155,60,38.7,32,53.3,117,53,45.3,25,47.2,185,79,42.7,51,64.6
609762,JULIAN HS,,118,66,55.9,192,90,46.9,38,42.2,149,73,49.0,39,53.4,208,84,40.4,52,61.9,211,108,51.2,69,63.9,212,110,51.9,61,55.5,294,162,55.1,100,61.7,221,122,55.2,78,63.9,319,162,50.8,122,75.3
609764,JUAREZ HS,,325,204,62.8,296,186,62.8,117,62.9,383,200,52.2,139,69.5,334,169,50.6,107,63.3,365,174,47.7,112,64.4,342,163,47.7,108,66.3,293,120,41.0,80,66.7,329,147,44.7,94,63.9,273,123,45.1,91,74.0
609766,VAUGHN HS,,33,2,6.1,37,4,10.8,*,*,26,2,7.7,*,*,37,4,10.8,*,*,33,3,9.1,*,*,31,4,12.9,*,*,29,6,20.7,*,*,46,5,10.9,*,*,39,5,12.8,*,*
609768,HOPE HS,,15,12,80.0,31,21,67.7,9,42.9,43,19,44.2,8,42.1,67,30,44.8,11,36.7,82,37,45.1,15,40.5,116,53,45.7,30,56.6,106,78,73.6,43,55.1,126,78,61.9,49,62.8,160,93,58.1,62,66.7
609769,GRAHAM HS,,28,3,10.7,22,1,4.5,*,*,30,3,10.0,*,*,27,1,3.7,*,*,39,1,2.6,*,*,23,0,0.0,*,*,28,1,3.6,*,*,34,1,2.9,*,*,39,0,0.0,*,*
609780,MARINE LEADERSHIP AT AMES HS,,101,58,57.4,76,45,59.2,26,57.8,64,28,43.8,17,60.7,52,24,46.2,10,41.7,,,,,,,,,,,,,,,,,,,,,,,,,
609783,JEFFERSON HS,,7,*,*,10,0,0,*,*,6,*,*,*,*,3,*,*,*,*,1,*,*,*,*,,,,,,,,,,,,,,,,,,,,
610244,CLARK HS,,97,50,51.5,94,74,78.7,28,37.8,91,52,57.1,35,67.3,98,53,54.1,27,50.9,90,49,54.4,30,61.2,133,86,64.7,51,59.3,194,117,60.3,61,52.1,164,123,75.0,75,61.0,168,97,57.7,66,68.0
610245,DOUGLASS HS,,32,9,28.1,43,14,32.6,4,28.6,59,20,33.9,7,35.0,58,12,20.7,8,66.7,54,19,35.2,7,36.8,51,18,35.3,11,61.1,82,43,52.4,17,39.5,77,29,37.7,14,48.3,86,34,39.5,11,32.4
610304,PHOENIX MILITARY HS,,108,76,70.4,118,93,78.8,73,78.5,99,64,64.6,48,75.0,93,42,45.2,25,59.5,103,55,53.4,36,65.5,71,40,56.3,23,57.5,88,44,50.0,31,70.5,59,27,45.8,16,59.3,79,41,51.9,24,58.5
610323,BOWEN HS,,55,25,45.5,67,24,35.8,11,45.8,66,29,43.9,16,55.2,81,40,49.4,13,32.5,90,34,37.8,15,44.1,130,57,43.8,30,52.6,188,85,45.2,45,52.9,49,21,42.9,13,61.9,82,43,52.4,27,62.8
610334,RABY HS,,77,35,45.5,68,33,48.5,11,33.3,89,33,37.1,18,54.5,88,45,51.1,23,51.1,79,43,54.4,23,54.8,96,61,63.5,40,65.6,99,52,52.5,40,76.9,98,65,66.3,38,58.5,109,68,62.4,50,73.5
610340,CHICAGO ACADEMY HS,,114,89,78.1,105,87,82.9,64,73.6,109,78,71.6,62,79.5,107,86,80.4,70,81.4,105,77,73.3,50,64.9,106,76,71.7,61,80.3,70,56,80.0,41,73.2,93,69,74.2,52,75.4,95,62,65.3,45,72.6
610357,SPRY HS,,35,20,57.1,43,31,72.1,25,80.6,52,24,46.2,14,58.3,36,17,47.2,10,58.8,47,22,46.8,16,72.7,54,22,40.7,15,68.2,57,31,54.4,20,64.5,38,21,55.3,15,71.4,24,14,58.3,10,71.4
